driver_gene	paralog_gene	cancer_type	pcs	delta_expression	necessity	dependency_dd	composite_score	novelty	q_value	mutation_frequency	n_mut	n_wt	is_known_paralog_sl
KRAS	DIRAS1	Endometrial	0.0	-0.9938041237338198	-0.0190173875781441	0.0422288705765193	0.0679196388375941	Novel	0.3080283748253804	0.2142857142857142	6	22	False
PIK3R1	SHF	Endometrial	0.0021469236930272	0.0796258435604864	0.0269626492734912	-0.0473620534771085	0.0658326196784285	Novel	0.9541256752245454	0.25	7	21	False
KRAS	NRAS	Ovarian	0.0118989918713297	0.0539204582525547	0.2206767571521149	-0.0726902408560027	0.065604977707997	Novel	0.9831295613656932	0.1454545454545454	8	47	False
PIK3R1	SHC4	Endometrial	0.0	-0.0394360031540584	0.0490642504633331	0.0478289600674346	0.0642331744291704	Novel	0.9541256752245454	0.25	7	21	False
KRAS	RALA	Ovarian	0.0289333681205089	0.2156359189425138	0.1341769416820686	0.0351016367657702	0.0634249592788227	Novel	0.9126410926046472	0.1454545454545454	8	47	False
KRAS	RIT1	Ovarian	0.0	-0.4243735743739529	0.1965607172288247	-0.0596832984125999	0.062838883609083	Novel	0.3104051550658437	0.1454545454545454	8	47	False
KRAS	NRAS	Endometrial	0.0	-0.1269325074060923	0.2206767571521149	-0.0536264062893024	0.0619990163616014	Novel	0.8118008128844857	0.2142857142857142	6	22	False
PIK3CA	PIK3CD	Cervical	0.0	-0.4866781448343256	0.2001614377253945	-0.0542212550458646	0.0616876799273728	Novel	0.549814121744631	0.1875	3	13	False
FBXW7	FBXW5	Endometrial	0.0079972315002844	0.2267110511602723	0.0352749963416245	0.0124208786644087	0.0616352121081965	Novel	0.931247735370951	0.2857142857142857	8	20	False
KRAS	RASD2	Ovarian	0.0	-0.0778240613757585	0.1566959747645994	0.0854979754075281	0.0614851252950136	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	RIT1	Endometrial	0.0	-0.4510747861033195	0.1965607172288247	-0.0049917069547826	0.0610417212837432	Novel	0.125266589116456	0.2142857142857142	6	22	False
PIK3R1	SH2D1A	Endometrial	0.0	0.0052646145056623	-0.1620588250129339	-0.0378732039904636	0.0596110192161212	Novel	0.9541256752245454	0.25	7	21	False
KRAS	NKIRAS1	Endometrial	0.0	-0.1936100489123196	-0.0463266812316245	-0.0413680317989414	0.0588236400768848	Novel	0.6531546030225304	0.2142857142857142	6	22	False
KRAS	RASL11B	Endometrial	0.0	-0.0170423268707369	0.024617490699509	0.0503508403554805	0.0584741088092898	Novel	0.9653339777714952	0.2142857142857142	6	22	False
