driver_gene	paralog_gene	cancer_type	pcs	delta_expression	necessity	dependency_dd	cohens_d	hedges_g	dd_p_value	composite_score	novelty	q_value	mutation_frequency	n_mut	n_wt	is_known_paralog_sl
FBXW7	FBXW5	Endometrial	0.0079972315002844	0.2267110511602723	0.0352749963416245	0.0124208786644087	0.1523404753375226	0.1479033741140996	0.7415570259250653	0.0589507883559666	Novel	0.931247735370951	0.2857142857142857	8	20	False
KRAS	RASD2	Ovarian	0.0	-0.0778240613757585	0.1566959747645994	0.0854979754075281	0.7124799180282892	0.7023498718003989	0.1186070216130232	0.0579817040883908	Novel	0.9831295613656932	0.1454545454545454	8	47	False
PIK3R1	SH2D1A	Endometrial	0.0	0.0052646145056623	-0.1620588250129339	-0.0378732039904636	-0.4021188462096435	-0.3904066468054791	0.3051977868243567	0.0567012801271991	Novel	0.9541256752245454	0.25	7	21	False
KRAS	NKIRAS1	Endometrial	0.0	-0.1936100489123196	-0.0463266812316245	-0.0413680317989414	-0.3235692522198142	-0.3141449050677807	0.3765432406696864	0.0563349460948229	Novel	0.6531546030225304	0.2142857142857142	6	22	False
KRAS	RASL11B	Endometrial	0.0	-0.0170423268707369	0.024617490699509	0.0503508403554805	0.3367461773430502	0.3269380362553885	0.5049433629118681	0.0553592366585956	Novel	0.9653339777714952	0.2142857142857142	6	22	False
PIK3R1	TNS4	Endometrial	0.0	0.5045063314297608	-0.0463490599107743	-0.0311404596757177	-0.3735035663380074	-0.3626248216873858	0.332616875642952	0.0535754713998726	Novel	0.9541256752245454	0.25	7	21	False
PIK3R1	SHD	Endometrial	0.0111775650473473	0.2633789291319878	0.042439101275812	0.0096687167639653	0.0689688962167961	0.0669600934143652	0.8778854956021692	0.053062588178881	Novel	0.9541256752245454	0.25	7	21	False
KRAS	DIRAS3	Endometrial	0.0	-0.189041818321657	0.1555173489201315	-0.0276015651112348	-0.1393422778773475	-0.1352837649294636	0.7258687107426087	0.0523539989147067	Novel	0.5439365783225705	0.2142857142857142	6	22	False
PIK3CA	PIK3CD	Ovarian	0.0	-0.2220444568286619	0.2001614377253945	-0.0295247600044414	-0.2663259270819058	-0.2625393025262388	0.3791090035301879	0.0511650826557564	Novel	0.6749795493611246	0.2181818181818181	12	43	False
KRAS	RASD2	Endometrial	0.0	-0.1932295819170737	0.1566959747645994	0.0277237826953433	0.2354526204211149	0.2285947771078786	0.6240428642865156	0.0500003355805882	Novel	0.6531546030225304	0.2142857142857142	6	22	False
KRAS	RAP1A	Ovarian	0.0132129358211618	0.0689056622608399	0.1917539921631519	0.0436240893847703	0.2897526483652628	0.2856329424643349	0.5251968656967626	0.0497185716600606	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	RALB	Ovarian	0.001269744226179	0.4267782890056404	0.0029751846775933	-0.0309089987216196	-0.4834135714840166	-0.4765403927425377	0.0765105322590942	0.0488984745217146	Novel	0.3104051550658437	0.1454545454545454	8	47	False
KRAS	RIT2	Endometrial	0.0	-0.0077350895315197	-0.1197610398475584	-0.0032111906903065	-0.0279770953252107	-0.0271622284710783	0.934225815488552	0.0485209742767367	Novel	0.3080283748253804	0.2142857142857142	6	22	False
KRAS	RASL10A	Endometrial	0.0	-0.2450482388095234	0.1805532516144716	0.012648839942871	0.0803618399377091	0.0780212038230185	0.8616481275277343	0.0481270235739789	Novel	0.4426235176901215	0.2142857142857142	6	22	False
KRAS	RAP2C	Ovarian	0.0	0.0337798777136626	-0.1358452100341912	0.0628620437045482	0.3723817792736494	0.3670872516062515	0.4071874165464832	0.0474725284000501	Novel	0.9831295613656932	0.1454545454545454	8	47	False
PIK3R1	SH2D7	Endometrial	0.0001238591244706	0.0037831698612108	0.0327395091985156	-0.0161659748477169	-0.1797697861600752	-0.1745337729709468	0.635436744678428	0.0467280529441469	Novel	0.9541256752245454	0.25	7	21	False
PIK3R1	BLNK	Endometrial	0.0	0.479999163864524	-0.0204895730544154	0.0123522819247671	0.1536134889293881	0.1491393096401826	0.7290202924459407	0.0463586953521899	Novel	0.8510492693176752	0.25	7	21	False
PIK3R1	PIK3R3	Endometrial	0.0	0.4139593726537844	-0.0143193834099544	-0.010742708434357	-0.058997521608974	-0.0572791471931786	0.8758117141995496	0.0441054149314521	Novel	0.9541256752245454	0.25	7	21	False
