component,delta
pcs_minus_dd,0.13112745098039225
pcs_minus_dd,0.04166666666666663
pcs_minus_dd,0.20408163265306123
pcs_minus_dd,0.3253676470588235
pcs_minus_dd,0.3982843137254902
pcs_minus_dd,0.22857142857142865
pcs_minus_dd,0.32233223322332233
pcs_minus_dd,-0.03606102635228847
pcs_minus_dd,0.25306372549019607
pcs_minus_dd,0.434119278779473
pcs_minus_dd,0.19238095238095243
pcs_minus_dd,0.1841138659320477
pcs_minus_dd,-0.012461059190031154
pcs_minus_dd,0.03676470588235292
pcs_minus_dd,0.3028846153846154
pcs_minus_dd,0.4166666666666667
pcs_minus_dd,0.41608876560332875
pcs_minus_dd,0.3028571428571428
pcs_minus_dd,0.14093137254901966
pcs_minus_dd,0.03744798890429957
pcs_minus_dd,0.4133148404993065
pcs_minus_dd,0.024922118380062308
pcs_minus_dd,0.04993065187239942
pcs_minus_dd,0.22199999999999998
pcs_minus_dd,0.36887254901960786
pcs_minus_dd,0.3271028037383178
pcs_minus_dd,0.14857142857142847
pcs_minus_dd,0.3878205128205128
pcs_minus_dd,0.5208333333333334
pcs_minus_dd,0.09013605442176875
pcs_minus_dd,0.15865384615384615
pcs_minus_dd,0.19283746556473824
pcs_minus_dd,0.07852564102564097
pcs_minus_dd,0.4895238095238095
pcs_minus_dd,0.2564102564102564
pcs_minus_dd,0.5269526952695269
pcs_minus_dd,0.09333333333333327
pcs_minus_dd,0.22181372549019607
pcs_minus_dd,0.551155115511551
pcs_minus_dd,-0.04290429042904298
pcs_minus_dd,0.23039215686274506
pcs_minus_dd,0.4618585298196949
pcs_minus_dd,0.5447619047619048
pcs_minus_dd,0.30578512396694213
pcs_minus_dd,0.4424410540915395
pcs_minus_dd,-0.08078231292517013
pcs_minus_dd,0.051155115511551164
pcs_minus_dd,0.38200183654729103
pcs_minus_dd,0.17307692307692313
pcs_minus_dd,0.06899999999999995
pcs_minus_dd,0.20512820512820507
pcs_minus_dd,0.17047619047619045
pcs_minus_dd,0.26860119047619047
pcs_minus_dd,0.40464743589743596
pcs_minus_dd,0.2714460784313726
pcs_minus_dd,0.12816281628162818
pcs_minus_dd,0.16509433962264153
pcs_minus_dd,0.08999999999999997
pcs_minus_dd,0.14889705882352944
pcs_minus_dd,0.5825471698113207
pcs_minus_dd,0.43396226415094336
pcs_minus_dd,0.18154761904761907
pcs_minus_dd,0.15318627450980393
pcs_minus_dd,0.09904761904761905
pcs_minus_dd,0.15596330275229353
pcs_minus_dd,0.17486122125297388
pcs_minus_dd,0.31864095500459133
pcs_minus_dd,0.3044871794871795
pcs_minus_dd,0.2486248624862486
pcs_minus_dd,0.2950877192982456
pcs_minus_dd,0.147964796479648
pcs_minus_dd,-0.030253025302530268
pcs_minus_dd,0.1115196078431373
