driver_gene,paralog_gene,cancer_type,pcs,delta_expression,necessity,dependency_dd,cohens_d,hedges_g,dd_p_value,composite_score,novelty,q_value,mutation_frequency,n_mut,n_wt,is_known_paralog_sl
KRAS,RASL11B,Lung,0.0,-0.24585969038225958,0.02461749069950908,-0.009921554584184672,-0.06769079864394514,-0.06714343369534181,0.7590903329481933,0.08035743282838463,Novel,0.4007346842178473,0.37894736842105264,36,59,False
NF1,RASA2,Breast,0.0,-0.04852702276262466,-0.029424393077742278,-0.15220615240006913,-0.5935271173037514,-0.5842047018487186,0.38020866087443006,0.0803417653081319,Novel,0.9628455850594441,0.1,5,45,False
KEAP1,KLHL7,Lung,0.0,-0.28532147450034984,0.041246734489306186,0.13417219184401277,0.6508222007865073,0.6455594875726003,0.11773108943412505,0.08010241432879939,Novel,0.65640064051905,0.11578947368421053,11,84,False
KRAS,RALB,Endometrial,0.0011799718962787259,0.3966045890076346,0.0029751846775933587,-0.07922012094383196,-0.7761109086138569,-0.7535057365183077,0.045144262147517066,0.08003225907736405,Novel,0.44262351769012154,0.21428571428571427,6,22,False
KRAS,RERG,Lung,0.0,-0.470657926632561,0.08632292641733895,0.0015194148272757585,0.010183772824857619,0.01010142425754071,0.963090854851455,0.07994448015987708,Novel,0.3075144356352934,0.37894736842105264,36,59,False
KRAS,ERAS,Lung,0.0,-0.0011832923154495995,-0.09870162113310209,-0.03346973075039812,-0.34883366371927893,-0.3460129063307133,0.10567289887912619,0.0793249878188691,Novel,0.9938739674291459,0.37894736842105264,36,59,False
KRAS,RALA,Lung,0.0,-0.21830770833661983,0.13417694168206862,-0.00015711446333269152,-0.0011529101346637932,-0.0011435874112029,0.9957329907190884,0.07931200547083729,Novel,0.3075144356352934,0.37894736842105264,36,59,False
STK11,SIK3,Lung,0.0,-0.2980357266500908,-0.022576148638648923,0.024969051571856613,0.17315745977075056,0.17175726467826471,0.4981448868227883,0.07918565446685469,Novel,0.061153906156969626,0.21052631578947367,20,75,False
KRAS,RASL10A,Lung,0.0,-0.05577143877307278,0.18055325161447167,0.027889743771367853,0.15413858616762913,0.15289218250589628,0.4954737658355521,0.07759064969827138,Novel,0.9313243017667276,0.37894736842105264,36,59,False
KRAS,DIRAS2,Endometrial,0.0,-0.07908354548360652,-0.0493003395841572,-0.09496609283423627,-0.7498897054398713,-0.7280482577086129,0.09987754091890666,0.07734306660541246,Novel,0.8765905769007566,0.21428571428571427,6,22,False
KRAS,RAP2C,Lung,0.0,0.023205506652856478,-0.1358452100341912,-0.027289511160096952,-0.2291321330290057,-0.22727931254629136,0.28192640130443286,0.07654092237164437,Novel,0.98746482980656,0.37894736842105264,36,59,False
KRAS,RRAS,Ovarian,0.023833610415142908,0.5593965514289145,0.04260593018362854,-0.06224508277688791,-0.66045873830776,-0.6510683297062279,0.04698010205203276,0.07629930747530239,Novel,0.498324665274842,0.14545454545454545,8,47,False
KRAS,RERGL,Endometrial,0.0,-0.07430692949439546,-0.09649265293353555,-0.08371543088790674,-0.9767791153407634,-0.948329238194916,0.03298741752199105,0.07605305845902752,Novel,0.65030974898788,0.21428571428571427,6,22,False
STK11,SIK3,Cervical,0.0,0.21592655560228824,-0.022576148638648923,0.008848877843355057,0.07254851118103336,0.06859131966206791,0.8983155560587729,0.07513498830051964,Novel,0.5409737799092611,0.375,6,10,False
PIK3R1,STAP1,Endometrial,0.0,-0.017933892113539452,-0.08326786704354118,-0.045928963997498115,-0.4350991928202358,-0.4224264007963454,0.30166046029462473,0.07489045041306096,Novel,0.31859422535072024,0.25,7,21,False
PIK3R1,SHC2,Endometrial,0.0,-0.10036321372958956,-0.028280881831641753,-0.07620995937973926,-0.665370030139546,-0.6459903205238311,0.17379709130272455,0.07449987145506574,Novel,0.9541256752245454,0.25,7,21,False
PIK3R1,SHC3,Endometrial,0.0,-0.05738049856522254,0.15987754236425358,-0.07537785682519041,-0.4502285861758064,-0.4371151322095208,0.22055720977831544,0.0741135515080357,Novel,0.9541256752245454,0.25,7,21,False
KRAS,DIRAS1,Lung,0.0,-0.3192550701451913,-0.01901738757814411,0.006799873557145819,0.07142677295807683,0.07084919797458833,0.743925311437616,0.0734982860144145,Novel,0.604243577810946,0.37894736842105264,36,59,False
KRAS,RAP2C,Endometrial,0.0,-0.4551634403546734,-0.1358452100341912,0.06720027457146413,0.5112350604538711,0.4963447188872535,0.13017983916722642,0.07345359807002433,Novel,0.44262351769012154,0.21428571428571427,6,22,False
KRAS,RIT2,Lung,0.0,-0.002336768182123852,-0.11976103984755841,0.018108743104808755,0.17022785729423984,0.1688513517096503,0.4417733114112524,0.07304962811535526,Novel,0.9313243017667276,0.37894736842105264,36,59,False
KRAS,RERG,Endometrial,0.0,-0.8354038856249819,0.08632292641733895,0.05487808933638359,0.3125121591308613,0.3034098632338459,0.4015915353644635,0.07250834631284496,Novel,0.3080283748253804,0.21428571428571427,6,22,False
PIK3R1,PIK3R2,Endometrial,0.02020344325975368,0.1444637656518637,0.13985128498201402,0.031051221479021465,0.20096285381887333,0.19510956681444014,0.6336260156095694,0.07062538550857145,Novel,0.9541256752245454,0.25,7,21,False
PIK3R1,SH2D4B,Endometrial,0.0,0.07647769809326141,-0.036352081429588644,-0.057922971544214635,-0.45869069499142673,-0.4453307718363366,0.19904666493616624,0.07007215078330947,Novel,0.7009302163516951,0.25,7,21,False
KRAS,RAP2A,Lung,0.0,-0.09474764015189141,0.1526784498066791,-0.010865959367403838,-0.0993193193163358,-0.09851619813588025,0.6465054012365561,0.06994650358884241,Novel,0.9131586518968348,0.37894736842105264,36,59,False
KRAS,RHEBL1,Endometrial,0.018075138765083987,0.4372067699605451,0.04134231216665548,0.03633786838263767,0.2918490168554431,0.2833485600538283,0.5229004429355332,0.06967962566004918,Novel,0.6341415356073031,0.21428571428571427,6,22,False
PIK3R1,CLNK,Endometrial,0.0,-0.009438199979408571,-0.031120499302526763,-0.03401063351284709,-0.27304263159297176,-0.2650899335854095,0.572447876646339,0.0693571315014115,Novel,0.31859422535072024,0.25,7,21,False
KRAS,NKIRAS1,Lung,0.0,0.03808271247093087,-0.046326681231624534,0.008725083894706137,0.08247548942680533,0.08180857172254544,0.6955965850970617,0.06794052793228371,Novel,0.9860786132978676,0.37894736842105264,36,59,False
PIK3R1,SHB,Endometrial,0.002103517206692619,0.43229101405619463,0.004865974860211128,-0.04877643391318518,-0.28014525383486233,-0.2719856833348178,0.5830080116152467,0.06760518668410503,Novel,0.7009302163516951,0.25,7,21,False
KRAS,RHEB,Lung,0.0,-0.08325565442298899,0.44101769058109713,0.005115197064367416,0.017505626618099984,0.01736407168587815,0.9328238155515517,0.06727659928901011,Novel,0.9131586518968348,0.37894736842105264,36,59,False
KRAS,RASL10B,Lung,0.0,-0.029846496232771136,0.12293100942354462,-0.0070109342495016935,-0.054854544188048596,-0.05441097644528809,0.7976394914267112,0.06704097209649576,Novel,0.9938739674291459,0.37894736842105264,36,59,False
KRAS,DIRAS1,Endometrial,0.0,-0.9938041237338198,-0.01901738757814411,0.04222887057651937,0.4013340896042887,0.3896447471886298,0.34853555463505737,0.06663569817041537,Novel,0.3080283748253804,0.21428571428571427,6,22,False
KRAS,RASD2,Lung,0.001931647563399641,0.01232735918265615,0.15669597476459943,-0.001299830165211846,-0.010064998220684388,-0.00998361009491066,0.9619254876244485,0.06602358028450027,Novel,0.9938739674291459,0.37894736842105264,36,59,False
KRAS,RALB,Lung,0.0,-0.07049521332708064,0.0029751846775933587,-0.002482046475086871,-0.028303339490550878,-0.028074471516233754,0.8923281695915883,0.06579462741712779,Novel,0.9313243017667276,0.37894736842105264,36,59,False
KRAS,NKIRAS2,Lung,0.0,0.0008528637924216653,-0.06095167985270407,0.0021759092185830303,0.015777474856703798,0.015649894197485168,0.9418885282078137,0.0647962168032661,Novel,0.9938739674291459,0.37894736842105264,36,59,False
PIK3R1,SHF,Endometrial,0.002146923693027279,0.07962584356048641,0.026962649273491276,-0.04736205347710854,-0.3015511910747749,-0.29276814667453877,0.542764038961909,0.06292288058950642,Novel,0.9541256752245454,0.25,7,21,False
KRAS,NRAS,Ovarian,0.01189899187132978,0.05392045825255476,0.22067675715211496,-0.07269024085600276,-0.22391091874856006,-0.22072735118341466,0.3731426758202091,0.06210155650137428,Novel,0.9831295613656933,0.14545454545454545,8,47,False
PIK3R1,SHC4,Endometrial,0.0,-0.03943600315405843,0.04906425046333316,0.04782896006743468,0.40971574023104546,0.39778227206897615,0.32761367624498555,0.06132343534024832,Novel,0.9541256752245454,0.25,7,21,False
KRAS,RIT1,Endometrial,0.0,-0.4510747861033195,0.19656071722882473,-0.004991706954782682,-0.04664076338720626,-0.04528229455068569,0.9050565056008276,0.06119996048953561,Novel,0.12526658911645605,0.21428571428571427,6,22,False
KRAS,RIT1,Ovarian,0.0,-0.42437357437395296,0.19656071722882473,-0.05968329841259998,-0.4860244744327574,-0.47911417384840543,0.1431166205911077,0.06118335272969312,Novel,0.31040515506584376,0.14545454545454545,8,47,False
KRAS,RALA,Ovarian,0.02893336812050896,0.21563591894251388,0.13417694168206862,0.035101636765770244,0.3841488667755909,0.37868703454655406,0.2696587579244597,0.060040788845977085,Novel,0.9126410926046473,0.14545454545454545,8,47,False
KRAS,NRAS,Endometrial,0.0,-0.1269325074060923,0.22067675715211496,-0.05362640628930246,-0.37278593494148116,-0.3619280921761953,0.31388596601715096,0.05916179219046079,Novel,0.8118008128844857,0.21428571428571427,6,22,False
FBXW7,FBXW5,Endometrial,0.007997231500284469,0.22671105116027235,0.03527499634162457,0.01242087866440874,0.1523404753375226,0.14790337411409962,0.7415570259250653,0.058950788355966635,Novel,0.931247735370951,0.2857142857142857,8,20,False
KRAS,RASD2,Ovarian,0.0,-0.07782406137575859,0.15669597476459943,0.08549797540752818,0.7124799180282892,0.7023498718003989,0.11860702161302325,0.05798170408839086,Novel,0.9831295613656933,0.14545454545454545,8,47,False
KEAP1,ENC1,Lung,0.0,-1.055452308888456,-0.01651101148049276,0.021320354651441147,0.19008142727408459,0.18854438069235344,0.507243619989803,0.05723067685414494,Novel,0.06980256071821893,0.11578947368421053,11,84,False
PIK3R1,SH2D1A,Endometrial,0.0,0.005264614505662339,-0.16205882501293392,-0.037873203990463664,-0.4021188462096435,-0.39040664680547915,0.3051977868243567,0.05670128012719913,Novel,0.9541256752245454,0.25,7,21,False
KRAS,NKIRAS1,Endometrial,0.0,-0.1936100489123196,-0.046326681231624534,-0.041368031798941406,-0.3235692522198142,-0.31414490506778076,0.3765432406696864,0.056334946094822994,Novel,0.6531546030225304,0.21428571428571427,6,22,False
