driver_gene,paralog_gene,pcs,delta_expression,necessity,dependency_dd,cohens_d,hedges_g,dd_p_value,expr_p_value,expr_t_stat,n_mut,n_wt,cancer_type,mutation_frequency,q_value,pass_threshold,pcs_rank,pcs_norm,dd_norm,composite_score,is_known_paralog_sl
KRAS,HRAS,0.0008285609546656628,0.0044658869488225506,0.18553110818985608,-0.02287498177811967,-0.15723249062573394,-0.15447402587791403,0.6148852599928976,0.9858605541560371,0.01789318028046914,27,18,Colorectal_MSS,0.6,0.9858605541560371,False,9.0,0.024228522398259372,0.2001005903466295,0.052134379268455586,False
KRAS,RAP2B,0.0,-0.005834851305776656,-0.05153581546930635,0.028715813878380157,0.17368189266767248,0.17063484191911682,0.5720287359572227,0.9794578082207901,-0.025950275023067456,27,18,Colorectal_MSS,0.6,0.9858605541560371,False,20.5,0.0,0.2554334156700954,0.05108668313401909,False
PIK3CA,PIK3CD,0.02462586057795141,0.12302999447743834,0.20016143772539455,0.15314614378412233,0.9353092052355056,0.9189002718103213,0.05060438500775682,0.6864866017570418,0.4141469997868884,7,38,Colorectal_MSS,0.15555555555555556,0.6864866017570418,False,1.0,1.0,0.8487473283012312,0.6697494656602463,False
PIK3CA,PIK3CB,0.02102003459529337,0.17068655665782773,0.12314991295671783,-0.1747534442288705,-0.912695747732878,-0.8966835416323011,0.004495568123393646,0.49933757130347617,0.70685725218303,7,38,Colorectal_MSS,0.15555555555555556,0.6864866017570418,False,2.0,0.8535756356110256,1.0,0.6267878178055128,True
PIK3CA,PIK3CG,0.0,-0.034336893692839265,0.04275735025603428,-0.0318977828903339,-0.3542882023710864,-0.348072619873348,0.25127830381533256,0.23457837800225886,-1.2322432543833972,7,38,Colorectal_MSS,0.15555555555555556,0.6864866017570418,False,3.0,0.0,0.0,0.0,False
BRAF,RAF1,0.022108307632020565,0.15462613401773595,0.14297911392833954,-0.3833651508374439,-1.2631942852843148,-1.2410329820337127,2.7039904691955986e-05,0.3117586496941049,1.0353016569858804,9,36,Colorectal_MSS,0.2,0.3117586496941049,False,1.0,0.0,0.0,0.0,False
SMAD4,SMAD5,0.013979437501415557,0.1587883952288931,0.08803815594498723,0.0,0.0,0.0,1.0,0.5919262069349326,0.5523275030915401,10,35,Colorectal_MSS,0.2222222222222222,0.5919262069349326,False,1.0,1.0,0.0,0.5,False
SMAD4,SMAD7,0.0,-0.6749586182184015,0.10455060477524827,-0.14756287104642898,-0.5667080470518401,-0.556765800612334,0.11250770251227417,0.1196149737648338,-1.658307828492703,10,35,Colorectal_MSS,0.2222222222222222,0.15948663168644506,False,3.0,0.0,1.0,0.35,False
SMAD4,SMAD9,0.0,-0.36227240280724426,0.006727014494395011,-0.0696957594125873,-0.5203202313097298,-0.5111918061990328,0.20056039390400943,0.057782134676999414,-1.9497726461782743,10,35,Colorectal_MSS,0.2222222222222222,0.15948663168644506,False,3.0,0.0,0.4723123026703534,0.24446246053407067,False
SMAD4,SMAD6,0.0,-0.6600231339066938,0.10871215866447513,-0.058315691008465106,-0.3476644046739238,-0.3415650291533286,0.28774524272230667,0.11670347224377554,-1.6513258554126815,10,35,Colorectal_MSS,0.2222222222222222,0.15948663168644506,False,3.0,0.0,0.395192168564657,0.2290384337129314,False
FBXW7,FBXW4,0.00691949521462399,0.08940862572952568,0.0773918082082649,-0.03210117002514998,-0.20512355535642288,-0.20152489649052072,0.554646674773317,0.7575770904928176,0.3169972057470424,9,36,Colorectal_MSS,0.2,0.9945444767262183,False,1.0,1.0,0.8567778131169257,0.6713555626233851,False
FBXW7,FBXW5,0.0,-0.19758348225419553,0.03527499634162457,-0.033736794678180235,-0.33692504936012424,-0.33101408358187645,0.3697191186593204,0.6291022763540712,-0.4972240921832038,9,36,Colorectal_MSS,0.2,0.9945444767262183,False,2.5,0.0,1.0,0.2,False
FBXW7,FBXW2,0.0,0.0015078110267676692,-0.04114348633526994,-0.022316604213098376,-0.1458291033657118,-0.14327069804350634,0.6761513485865395,0.9945444767262183,0.006980684565686106,9,36,Colorectal_MSS,0.2,0.9945444767262183,False,2.5,0.0,0.0,0.0,True
BRCA2,BRCA1,0.32709993762553025,0.6646049645649121,0.49217197442945415,0.3749006255655464,0.9827262573825981,0.96548544584957,0.2746170151388593,0.20203567162957556,1.701445382622607,3,42,Colorectal_MSS,0.06666666666666667,0.20203567162957556,False,1.0,0.0,0.0,0.0,True
NF1,RASA2,0.0,0.2174692524212789,-0.029424393077742278,-0.22080250114723843,-1.6366861472424783,-1.6079723551855927,0.0566036897552193,0.7041660871556128,0.4341239176654452,3,42,Colorectal_MSS,0.06666666666666667,0.7041660871556128,False,1.5,0.0,1.0,0.2,False
NF1,RASA1,0.0,-0.3550386241751382,-0.04019477479329002,-0.16302755195579025,-0.6759812243506742,-0.6641219046252237,0.4653833831016819,0.702406556616536,-0.43792358671381393,3,42,Colorectal_MSS,0.06666666666666667,0.7041660871556128,False,1.5,0.0,0.0,0.0,False
ATM,ATR,0.08205436787641733,0.07409797480467795,1.107376660329954,-0.3449010490315636,-1.0223896165637714,-1.004452956624056,0.06866139990212275,0.6980940760029953,0.4010519247428876,6,39,Colorectal_MSS,0.13333333333333333,0.6980940760029953,False,1.0,0.0,0.0,0.0,False
