pair,gene_a,gene_b,hit_any_line,signed_dd_maxabs,welch_t_maxabs,hedges_g_maxabs
IPO5|RANBP6,IPO5,RANBP6,0,-0.2811922024313007,-2.4469242238078848,-1.2433979025385078
IPO7|IPO8,IPO7,IPO8,0,-0.3846773235275178,-4.037526977411486,-2.0143425643897785
IQCA1|IQCA1L,IQCA1,IQCA1L,0,0.07463909130002758,1.3227064885841657,0.6436108333248267
IRF4|IRF8,IRF4,IRF8,0,0.8173171933547065,3.6213029431636525,0.9571274729068083
ISCA2|PLAU,ISCA2,PLAU,0,0.13628936629100286,0.7186874148825306,0.3560500482242267
ISL1|YBX3,ISL1,YBX3,0,0.018823308030799207,0.7447063921403637,0.20459543533615393
ITSN1|ITSN2,ITSN1,ITSN2,0,0.11784952682969929,2.4661160495636847,0.8246360043931673
JAG1|JAG2,JAG1,JAG2,0,0.11421599981987617,-1.8086737125362469,0.8926212259117237
KAT6A|KAT6B,KAT6A,KAT6B,0,0.16115594880889775,4.761042140180117,1.1714326244083093
KCNMB3|WRN,KCNMB3,WRN,0,-0.07801539283216045,2.5035206216835713,-0.8402863745923409
KCNT1|KCNT2,KCNT1,KCNT2,0,-0.11293294591052692,-1.4230467824615158,-0.6828829173242535
KHSRP|TNPO1,KHSRP,TNPO1,1,0.3227569934613621,4.132095207488403,1.4045501815247243
KIAA0319|KIAA0319L,KIAA0319,KIAA0319L,0,-0.04344266575199399,-1.496812288214569,-0.5401219210005528
KIF20A|SKA1,KIF20A,SKA1,0,0.3273878887045269,0.9670308764062743,0.6417095618390212
KIF20A|KIF4A,KIF4A,KIF20A,1,-0.3621399769003164,-2.6140206308216802,-0.9005938395064509
KLF4|MRPL55,KLF4,MRPL55,0,0.20029524210094968,2.646675921819732,1.0339223427819468
KLF4|MTG2,KLF4,MTG2,0,0.08657810274126126,1.0869450521170798,0.35988565280188906
KLF5|OSBPL6,KLF5,OSBPL6,0,0.3399690773967816,2.43695391167153,0.8550745807385276
KPNA2|KPNA3,KPNA2,KPNA3,0,-0.11792601263489497,-2.3059271004484097,-0.8548652774379145
L3MBTL2|MBTD1,L3MBTL2,MBTD1,0,0.14034824006813723,1.6654550875864012,0.7804902619887917
LARP1|LARP1B,LARP1,LARP1B,0,0.23243591261917593,2.3036293310953084,1.0920741392045155
LATS1|LATS2,LATS1,LATS2,1,-0.15584540234880243,-2.5716206373999446,-1.110651400242005
LDB1|LDB2,LDB1,LDB2,0,0.1866299929479529,2.275134822545893,0.7193642166439916
LIMK1|LIMK2,LIMK1,LIMK2,0,-0.08293570060461646,-2.2783034129193225,-0.6725062523716736
LIN28A|LIN28B,LIN28A,LIN28B,0,-0.0612452754410317,-0.9732844637229666,-0.48676722815916235
LMBR1|LMBR1L,LMBR1,LMBR1L,0,0.009678094853206448,0.22044654840121064,0.08231830178666877
LNX1|LNX2,LNX1,LNX2,0,-0.06981556599677567,-2.283454232302849,-0.7234689897139777
LRBA|NBEA,LRBA,NBEA,0,0.12138091235837171,3.5813899474681707,1.2688352387453214
LRFN1|TTC7A,LRFN1,TTC7A,0,-0.48327560688280535,-4.003477334345314,-0.9173887387730778
LSM14A|LSM14B,LSM14A,LSM14B,0,0.07724033145228082,0.5785339017499775,0.3977476848186393
MAPK8IP3|SPAG9,MAPK8IP3,SPAG9,0,0.17645753312563478,3.949835340168772,1.1912304460010223
MARCKS|XPR1,MARCKS,XPR1,0,0.10739947127758759,1.2667118789318577,0.4447101888852176
MAT1A|MAT2A,MAT1A,MAT2A,1,-0.2397851918345495,-1.089721289674311,-0.4418030334036997
MBP|MRPL38,MBP,MRPL38,0,0.0919940021302289,0.7483278885721815,0.2767976506284665
MECOM|PRDM16,MECOM,PRDM16,0,-0.4472693650585319,2.0845021129251773,0.9912873058865652
MED12|MED12L,MED12,MED12L,0,0.3505899399924526,3.7239336200723803,1.342098253531297
