driver_gene,paralog_gene,cancer_type,signed_dd,welch_t,hedges_g,n_mut,n_wt,sufficient_dep_n,is_known_paralog_sl
PIK3R1,SLA2,Endometrial,-0.05054557490137143,-1.4727473918734388,-0.6240169134444704,7,21,True,False
PIK3R1,SH2D2A,Endometrial,0.10587133536638411,1.2615939997375174,0.5704485789707501,7,21,True,False
PIK3R1,STAP1,Endometrial,-0.045928963997498115,-1.0733974073689938,-0.4224264007963454,7,21,True,False
PIK3R1,SHC2,Endometrial,-0.07620995937973926,-1.4739125784310356,-0.6459903205238311,7,21,True,False
PIK3R1,SHC3,Endometrial,-0.07537785682519041,-1.2592611834320078,-0.4371151322095208,7,21,True,False
PIK3R1,PIK3R2,Endometrial,0.031051221479021465,0.4882077434758137,0.19510956681444014,7,21,True,False
PIK3R1,SH2D4B,Endometrial,-0.057922971544214635,-1.3193374172082883,-0.4453307718363366,7,21,True,False
PIK3R1,CLNK,Endometrial,-0.03401063351284709,-0.587225410606128,-0.2650899335854095,7,21,True,False
PIK3R1,SHB,Endometrial,-0.04877643391318518,-0.5740467234839219,-0.2719856833348178,7,21,True,False
PIK3R1,SHF,Endometrial,-0.04736205347710854,-0.6357732890339145,-0.29276814667453877,7,21,True,False
PIK3R1,SHC4,Endometrial,0.04782896006743468,1.0146423683359946,0.39778227206897615,7,21,True,False
PIK3R1,SH2D1A,Endometrial,-0.037873203990463664,-1.0556692179386564,-0.39040664680547915,7,21,True,False
PIK3R1,TNS4,Endometrial,-0.031140459675717755,-0.9942693296683732,-0.36262482168738586,7,21,True,False
PIK3R1,SHD,Endometrial,0.009668716763965385,0.1575461856512161,0.06696009341436522,7,21,True,False
PIK3R1,SH2D7,Endometrial,-0.01616597484771693,-0.48162900358221117,-0.17453377297094688,7,21,True,False
PIK3R1,BLNK,Endometrial,0.012352281924767151,0.35563631222439807,0.14913930964018268,7,21,True,False
PIK3R1,PIK3R3,Endometrial,-0.010742708434357023,-0.15833449165391195,-0.057279147193178656,7,21,True,False
PIK3R1,SH2D1B,Endometrial,-0.004872714863987036,-0.10815307874888196,-0.03521088874721772,7,21,True,False
PIK3R1,SH2D6,Endometrial,0.0,,0.0,7,21,False,False
PTEN,TNS2,Endometrial,-0.09027321319508283,-1.682386741460305,-0.625361967200789,17,11,True,False
PTEN,TNS1,Endometrial,0.026316142706401063,0.5310311815953461,0.19835493079217706,17,11,True,False
TP53,TP63,Endometrial,0.03914668954505135,0.5635684989151063,0.20266743813789329,21,7,True,False
TP53,TP73,Endometrial,-0.00942981712789228,-0.11030577274424679,-0.045959261212582855,21,7,True,False
STK11,SIK1,Cervical,0.0362769749574782,0.6663143997632783,0.2873762468599369,6,10,True,True
STK11,SIK2,Cervical,-0.11069384484034565,-1.4960807829593195,-0.8005635046654561,6,10,True,False
STK11,SIK3,Cervical,0.008848877843355057,0.13246909475862503,0.06859131966206791,6,10,True,False
