pair,gene_a,gene_b,hit_union,hit_h1299,hit_mdamb231,dd_min3,abs_dd,max_abs_mean_chronos,min_abs_mean_chronos,mrna_coexpression
SLC5A11_SLC5A2,SLC5A11,SLC5A2,0,0,0,-0.0672209511702758,0.0672209511702758,0.06697509588748427,0.004947060950388363,0.16174328233528454
PAX3_PAX9,PAX3,PAX9,0,0,0,0.0406308052963874,0.0406308052963874,0.03657882507744586,0.03612709048929513,0.01779470312736189
RNF130_RNF133,RNF130,RNF133,0,0,0,-0.0982329764904752,0.0982329764904752,0.05661700042590999,0.035543037972297194,-0.002514189443140702
OR7A17_OR7C2,OR7A17,OR7C2,0,0,0,-0.1638797766346942,0.1638797766346942,0.40102266641216683,0.17635302035006906,0.32825725056023347
EOMES_TBXT,EOMES,TBXT,0,0,0,0.0859789804125613,0.0859789804125613,0.07615272236639457,0.001061365459750463,0.08848934269754989
OTX2_PROP1,OTX2,PROP1,0,0,0,-0.0994165320492176,0.0994165320492176,0.06356812269930735,0.008645394474629434,-0.0002859727354145147
TUB_TULP3,TUB,TULP3,0,0,0,0.0926349862019068,0.0926349862019068,0.10176693341645224,0.08417236566034553,0.48347648131915866
DIRAS1_RAP1A,DIRAS1,RAP1A,0,0,0,-0.0279011669432618,0.0279011669432618,0.1917539921631519,0.01901738757814411,-0.04771382988317868
NEK11_NEK4,NEK11,NEK4,0,0,0,-0.1156617476473832,0.1156617476473832,0.07803119910047442,0.05421621453772375,0.12890266749020504
BCHE_NLGN3,BCHE,NLGN3,0,0,0,0.1538143474995499,0.1538143474995499,0.02592908333858193,0.00010377709824355631,0.05450370699773768
ZNF404_ZNF573,ZNF404,ZNF573,0,0,0,0.1957067713710866,0.1957067713710866,0.011890366680049195,0.0031086353986826813,0.33679524101045805
C1QC_COL10A1,C1QC,COL10A1,0,0,0,0.0335989517127368,0.0335989517127368,0.12831200064331477,0.02373690371563564,0.0017746248925791473
LPAR5_P2RY4,LPAR5,P2RY4,0,0,0,0.0591068470345884,0.0591068470345884,0.17914384196367217,0.058286735825507474,0.05752870011444232
ZNF708_ZNF85,ZNF708,ZNF85,0,0,0,0.0826279063346644,0.0826279063346644,0.07616945017019418,0.02119117128617863,0.5597601329406356
KLF10_KLF11,KLF10,KLF11,0,0,0,-0.1133452542861629,0.1133452542861629,0.12803770075920515,0.0011104688185705589,0.32074577262891224
GPR65_P2RY8,GPR65,P2RY8,0,0,0,-0.0328163413880886,0.0328163413880886,0.3555317694901779,0.10706241133373967,0.5653299953004074
PRKCD_PRKCH,PRKCD,PRKCH,0,0,0,0.1221765714277801,0.1221765714277801,0.04576094584431421,0.04039875743302109,0.10177953143772782
KCNA1_KCNA10,KCNA1,KCNA10,0,0,0,-0.1597437340369798,0.1597437340369798,0.3366291402408407,0.06534628025847333,0.04045685290174785
LRCH3_LRRC18,LRCH3,LRRC18,0,0,0,0.032190709482514,0.032190709482514,0.08213951325879704,0.0434433806025796,0.011265969531407006
FABP7_PMP2,FABP7,PMP2,0,0,0,-0.0811672414305154,0.0811672414305154,0.07372512129424173,0.04792595665728461,0.4746666262757383
HACD1_HACD3,HACD1,HACD3,0,0,0,0.0901918687742781,0.0901918687742781,0.03249659750388246,0.026617219833715514,0.14546450860943275
WNT1_WNT2B,WNT1,WNT2B,0,0,0,-0.0857512176719778,0.0857512176719778,0.17709317504771477,0.009127210303562451,-0.009835053043957286
ZNF566_ZNF582,ZNF566,ZNF582,0,0,0,0.1260470156625068,0.1260470156625068,0.11533389338669496,0.011921215541771639,0.439882331969151
KCNA6_KCNC4,KCNA6,KCNC4,0,0,0,-0.091945322710223,0.091945322710223,0.19952461025774237,0.10161665054811268,0.17856791480520365
ZNF595_ZNF728,ZNF595,ZNF728,0,0,0,-0.2247322144324392,0.2247322144324392,0.10687483656140682,0.015102850716126997,0.25029834233346754
KCTD16_KCTD21,KCTD16,KCTD21,0,0,0,0.1185722121869476,0.1185722121869476,0.1025350540016922,0.09149415241899114,0.15094291562905215
AFF1_AFF2,AFF1,AFF2,0,0,0,-0.1610049187073412,0.1610049187073412,0.10515538204180253,0.06867228125031925,0.11015159002760566
GJB4_GJD3,GJB4,GJD3,0,0,0,0.0497977795150997,0.0497977795150997,0.1568976979315279,0.07613081614608921,0.08546132071539603
ADAMTS16_ADAMTS7,ADAMTS16,ADAMTS7,0,0,0,0.1128836612469003,0.1128836612469003,0.09398804845964283,0.08317216160605195,0.14098310935151273
ETHE1_HAGHL,ETHE1,HAGHL,0,0,0,-0.1353866114098235,0.1353866114098235,0.020881352060587752,0.012044840370905332,0.004037711376494829
MGAT4C_MGAT4D,MGAT4C,MGAT4D,0,0,0,-0.1095673032730618,0.1095673032730618,0.09925729817715812,0.05499962351046461,-0.01099476183097873
LRRC10_PIDD1,LRRC10,PIDD1,0,0,0,-0.0943560138000012,0.0943560138000012,0.02931765574101831,0.01979909068855342,0.055452656912493514
DVL2_DVL3,DVL2,DVL3,0,0,0,-0.0543505183718119,0.0543505183718119,0.10368213618118802,0.035647302067100296,0.47564749953803637
PNMA5_ZCCHC18,PNMA5,ZCCHC18,0,0,0,0.0998564865659499,0.0998564865659499,0.06272623657471661,0.040323459279588796,0.03186203467729681
OMD_PRELP,OMD,PRELP,0,0,0,-0.0691881859697658,0.0691881859697658,0.11689946837757646,0.07797065194877958,0.3516525195805933
SEMA5B_SEMA7A,SEMA5B,SEMA7A,0,0,0,0.1104867301207312,0.1104867301207312,0.11129992989590912,0.034443665914885783,-0.079781391695625
NLRP11_NLRP5,NLRP11,NLRP5,0,0,0,0.1258247928417314,0.1258247928417314,0.004028055801692742,0.003104124134074957,0.2511898382226639
UBQLN3_UBQLN4,UBQLN3,UBQLN4,0,0,0,-0.1120212593056577,0.1120212593056577,0.5757004237504965,0.04873272827521951,0.07598570341940188
EGR1_EGR4,EGR1,EGR4,0,0,0,-0.2020633576931245,0.2020633576931245,0.12963233095778548,0.06609959532002713,0.20595057553452825
MAGEB6_NDN,MAGEB6,NDN,0,0,0,0.1545784450261096,0.1545784450261096,0.060049332516576875,0.05090511468260412,0.13654278420548963
PLCB1_PLCD3,PLCB1,PLCD3,0,0,0,0.0577345679774017,0.0577345679774017,0.29807976226574695,0.10172244880200099,-0.01017476600085202
SLC6A6_SLC6A9,SLC6A6,SLC6A9,0,0,0,0.09179105609157,0.09179105609157,0.22662018472974044,0.10792273748510783,-0.052051220006146745
IPP_KLHL5,IPP,KLHL5,0,0,0,0.1096962811035699,0.1096962811035699,0.09920711846280156,0.09690158717534393,0.15387219343803088
MYH15_MYH4,MYH15,MYH4,0,0,0,-0.1432296052416567,0.1432296052416567,0.06766152735927676,0.02012851328234519,-0.002476682079755624
PAK1_STK39,PAK1,STK39,0,0,0,-0.083014416406691,0.083014416406691,0.16790325833359776,0.08122964806595662,0.1690150232732845
ZNF442_ZNF490,ZNF442,ZNF490,0,0,0,0.116955268258354,0.116955268258354,0.07531252412860287,0.0054611320465571146,0.3147992810869174
ZNF14_ZNF699,ZNF14,ZNF699,0,0,0,-0.0940396383128159,0.0940396383128159,0.15483381662054285,0.03408524891858048,0.39358570010996674
IGSF1_KIR3DL1,IGSF1,KIR3DL1,0,0,0,0.153113589420117,0.153113589420117,0.09874243768540202,0.08486251946096328,-0.0263619005846207
CBLN2_CBLN3,CBLN2,CBLN3,0,0,0,0.118819731862663,0.118819731862663,0.1333414032952679,0.06253629161887743,0.017680801025553222
DOC2B_SYTL1,DOC2B,SYTL1,0,0,0,-0.0346307805424127,0.0346307805424127,0.20660046947555147,0.03611472958824896,-0.033339930125453124
MAGEE1_MAGEL2,MAGEE1,MAGEL2,0,0,0,0.1454437358411074,0.1454437358411074,0.11904637315876898,0.034361053342876396,0.24461248722866763
MAGEA12_MAGEB18,MAGEA12,MAGEB18,0,0,0,-0.0751711922868404,0.0751711922868404,0.05870275807958783,0.0380826337304883,0.1120279218025071
OR2M4_OR2T8,OR2M4,OR2T8,0,0,0,0.1366712013783952,0.1366712013783952,0.12763596589821,0.07522781956130575,0.12267360491240822
SLC38A11_SLC38A5,SLC38A11,SLC38A5,0,0,0,-0.1728720982716302,0.1728720982716302,0.0612245552141526,0.003571385833862039,-0.061899888036611284
CD69_CLEC2D,CD69,CLEC2D,0,0,0,0.0080834319531144,0.0080834319531144,0.15782497096492698,0.1097354126601109,0.4985505751675542
MYH1_MYH7,MYH1,MYH7,0,0,0,-0.1050424968881069,0.1050424968881069,0.0653910943474026,0.009777582002471658,0.011089426935723323
ENAH_EVL,ENAH,EVL,0,0,0,-0.0746951893861126,0.0746951893861126,0.051351704963594466,0.030808311136112678,-0.0616646201314366
ZNF723_ZNF728,ZNF723,ZNF728,0,0,0,-0.0767104151821202,0.0767104151821202,0.18131713649903033,0.10687483656140682,0.6477407954741426
ZNF257_ZNF679,ZNF257,ZNF679,0,0,0,-0.0665239606988631,0.0665239606988631,0.08064380035922074,0.05532869497621555,0.175687068004726
ZNF43_ZNF845,ZNF43,ZNF845,0,0,0,0.1238790134257886,0.1238790134257886,0.048460524520433694,0.0019032338516078446,0.33708892657479145
ZNF627_ZNF669,ZNF627,ZNF669,0,0,0,-0.129606003539637,0.129606003539637,0.11974707402714181,0.05121552679854197,0.5954857982846243
S1PR3_S1PR4,S1PR3,S1PR4,0,0,0,0.0139358720532695,0.0139358720532695,0.08712453789951767,0.024346461688769215,-0.22907021706070846
SLC6A5_SLC6A8,SLC6A5,SLC6A8,0,0,0,-0.1912832046692417,0.1912832046692417,0.24520791828427474,0.018044390109998476,-0.007423191209307791
GRIK1_GRIK2,GRIK1,GRIK2,0,0,0,0.1226603239856229,0.1226603239856229,0.15289120361373418,0.005998172657730386,0.13301737999003888
SP100_SP110,SP100,SP110,0,0,0,0.0870025433631428,0.0870025433631428,0.11093191039980167,0.027742260305676426,0.689754954491124
LCE2B_LCE2D,LCE2B,LCE2D,0,0,0,0.0250609155664209,0.0250609155664209,0.13359949444433097,0.06922748999620644,0.8416721737427988
LTBP2_LTBP3,LTBP2,LTBP3,0,0,0,-0.2933162534905885,0.2933162534905885,0.2715030326259355,0.09073042155975006,0.4708925871903267
OR10H2_OR10T2,OR10H2,OR10T2,0,0,0,0.1159925941929779,0.1159925941929779,0.22369730633370413,0.1766531464769828,0.0030656395917811434
HOXB5_HOXD8,HOXB5,HOXD8,0,0,0,-0.0775110403477297,0.0775110403477297,0.15436791659916888,0.045251583388184365,0.1214277776928935
