,SequencingID,ModelID,ModelConditionID,IsDefaultEntryForModel,IsDefaultEntryForMC,MSIScore,LoHFraction,WGD,CIN,Ploidy,Aneuploidy
1714,CDS-HaeoZG,ACH-000768,MC-000768-F0F5,No,Yes,0.69,0.371387269957378,1.0,0.733088954261479,2.75699608500121,25.0
1715,CDS-HbJiG3,ACH-000157,MC-000157-92YL,Yes,Yes,4.67,,,,,
1716,CDS-HbNAQK,ACH-000466,MC-000466-hcLR,No,No,2.3,0.489989341147823,1.0,0.554756180763566,2.30533510446271,13.0
1717,CDS-HfASas,ACH-000593,MC-000593-aYaS,No,No,3.57,0.0654586337923996,1.0,0.512592161761989,3.17682661001288,20.0
1718,CDS-Hl5icq,ACH-000457,MC-000457-iohc,No,Yes,1.33,0.21800642774648,0.0,0.55212200868314,2.50352983553281,25.0
1719,CDS-Hm0CHU,ACH-000883,MC-000883-mbps,No,Yes,0.47,0.115969149708455,1.0,0.494052258232334,3.2846539855695,17.0
1720,CDS-HpdIND,ACH-002171,MC-002171-Awo5,Yes,Yes,3.09,0.418287533302115,1.0,0.728178934980814,2.7501168426004203,25.0
1721,CDS-HyNpTt,ACH-000743,MC-000743-kaBM,Yes,Yes,0.72,0.15986478972429,1.0,0.457420655757667,2.9748496550761003,19.0
1722,CDS-I0WhaP,ACH-001605,MC-001605-QuPH,No,Yes,1.17,0.395742947656047,1.0,0.683005268979458,2.52436037172579,25.0
1723,CDS-I0yK2Z,ACH-000481,MC-000481-bFe4,No,Yes,1.22,0.342801263995281,1.0,0.606260633631286,2.87590279401341,23.0
1724,CDS-I3aTEB,ACH-002215,MC-002215-EIOT,No,Yes,1.37,0.0963746269775356,0.0,0.259277645348365,2.1762215476253997,7.0
1725,CDS-I558F8,ACH-000174,MC-000174-7K9z,No,Yes,1.51,0.488116750353029,1.0,0.734641878314428,3.0059386359663702,18.0
1726,CDS-I6G2pp,ACH-000235,MC-000235-3Jp1,No,No,1.67,0.26076524599067,1.0,0.419173506530008,2.74073530332739,18.0
1727,CDS-I6L8DM,ACH-000827,MC-000827-6ReA,No,Yes,1.25,0.072706601901367,0.0,0.302480173151886,2.38692400339839,6.0
1728,CDS-I9IhG4,ACH-000135,MC-000135-L9Ng,No,Yes,0.96,0.146498141290429,0.0,0.360494831453071,2.22176514168692,12.0
1729,CDS-I9bDau,ACH-000451,MC-000451-FDtA,Yes,Yes,0.95,0.38456510375615,1.0,0.730501338404548,2.9966803871764998,25.0
1730,CDS-IAZz6r,ACH-001857,MC-001857-JYg4,Yes,Yes,3.46,,,,,
1731,CDS-IAz0pB,ACH-000043,MC-000043-0ycN,Yes,Yes,1.63,0.000228420127235472,0.0,0.000286967083240317,1.99991108096336,0.0
1732,CDS-ICouzn,ACH-000957,MC-000957-Ccbl,No,Yes,87.32,0.00409721038812707,0.0,0.025894010092248,2.02764916712649,0.0
1733,CDS-ID1duZ,ACH-000296,MC-000296-bgzW,Yes,Yes,4.2,0.225930717591764,1.0,0.500865669130273,2.8110591340823103,17.0
1734,CDS-IHsrSb,ACH-000332,MC-000332-1VT5,No,Yes,1.12,0.268963941734143,1.0,0.626708700641596,3.3090536748439803,23.0
1735,CDS-IPDVzQ,ACH-000265,MC-000265-TfNJ,No,Yes,1.27,0.231557238193356,1.0,0.601745691616007,3.2737579108072903,18.0
1736,CDS-IPyRLk,ACH-000930,MC-000930-7W2U,No,Yes,70.93,0.235626613468233,1.0,0.753785145242141,4.43412922114105,24.0
1737,CDS-IRJkVH,ACH-000426,MC-000426-vT1j,No,No,2.69,0.232588018988227,0.0,0.260551090498593,1.89663575917204,8.0
